id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,gender,age_group,color,size
2744037,Mini BB#1 Stripe Bow Tie,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/brooks-brothers/mini-bb-1-stripe-bow-tie,https://img.shopstyle-cdn.com/pim/85/6a/856ac6c9651e6323505972a969774bad_best.jpg,new,in stock,89.50 USD,89.50 USD,male,Adult,navy,medium
313543857,La Perla - Up Date Multi-way Padded Bra - Black,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/la-perla/up-date-multi-way-padded-bra-black,https://img.shopstyle-cdn.com/pim/b9/9d/b99df6806e007692dda6c001541f765b_best.jpg,new,in stock,145 USD,145 USD,null,Adult,navy,medium
288576227,HOORSENBUHS Women's Dame Phantom Ring - Rose Gold,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=288576227,https://img.shopstyle-cdn.com/pim/ee/9c/ee9c4cfefdd4734fe20a3d2aa29fd369_best.jpg,new,in stock,6000 USD,0 USD,female,Adult,navy,medium
277308195,James Perse JERSEY ROBE,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=277308195,https://img.shopstyle-cdn.com/pim/86/6a/866ab5cefdf9e7ef8dc5019d16fdf72a_best.jpg,new,in stock,185 USD,0 USD,null,Adult,navy,medium
234505315,Forzieri Vertical Stripe Tone on Tone Woven Silk Ascot,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=234505315,https://img.shopstyle-cdn.com/pim/c7/05/c7050ff0dbe08673bd1e745aa98842d6_best.jpg,new,in stock,80 USD,0 USD,null,Adult,navy,medium
2744075,Reversible Leather Belt,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/brooks-brothers/reversible-leather-belt,https://img.shopstyle-cdn.com/pim/f8/37/f837afb4ae8827e0fe2ca371e9b999df_best.jpg,new,in stock,128 USD,128 USD,male,Adult,navy,medium
297322116,David Yurman Wheaton Ring with Prasiolite and Diamonds,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/david-yurman/wheaton-ring-with-prasiolite-and-diamonds,https://img.shopstyle-cdn.com/pim/e8/b7/e8b7ce94efae3ceb2e4259a0fc1d2f9d_best.jpg,new,in stock,925 USD,925 USD,male,Adult,navy,medium
202170515,NIC+ZOE Perfect Tank,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=202170515,https://img.shopstyle-cdn.com/pim/7d/bd/7dbd173b7f79be5a7e95c81be9df4f0e_best.jpg,new,in stock,48 USD,0 USD,null,Adult,navy,medium
330121353,Ag Prima Mid Rise Jeans in Jetsetter,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/ag-jeans/prima-mid-rise-jeans-in-jetsetter,https://img.shopstyle-cdn.com/pim/44/45/44453525dd5b2a6fd50b450c34a4386b_best.jpg,new,in stock,188 USD,188 USD,female,Adult,navy,medium
182830993,Pakerson Blue Italian Hand Made Leather Lace-up Shoes,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/pakerson/blue-italian-hand-made-leather-lace-up-shoes,https://img.shopstyle-cdn.com/pim/2b/ed/2bed8bc7a0d97308e8df166cb42878f0_best.jpg,new,in stock,411 USD,411 USD,female,Adult,navy,medium
244153909,Jennifer Meyer Women's Diamond Stick Necklace - Gold,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=244153909,https://img.shopstyle-cdn.com/pim/52/74/52747946230e6afa5468ceab38245cd3_best.jpg,new,in stock,1050 USD,0 USD,female,Adult,navy,medium
136626579,Ippolita Women's Glamazon 18K Yellow Gold Mini Bastille Link Chain Necklace,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=136626579,https://img.shopstyle-cdn.com/pim/7a/69/7a69ca86a3ca777f66f423479bff2f6c_best.jpg,new,in stock,4995 USD,0 USD,female,Adult,navy,medium
179599517,John Hardy Women's Classic Chain Black Sapphire & Sterling Silver Medium Square Pendant,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=179599517,https://img.shopstyle-cdn.com/pim/a4/6e/a46e53b723a87493618ce75d790a0aa3_best.jpg,new,in stock,795 USD,0 USD,female,Adult,navy,medium
319795100,Tumi Alpha Zip Travel Case,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=319795100,https://img.shopstyle-cdn.com/pim/3d/e9/3de96090500b3f9817faed94b735ab21_best.jpg,new,in stock,175 USD,0 USD,null,Adult,navy,medium
321385216,Denco Sports Luggage Miami Heat 27-Inch Rolling Duffel Bag,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=321385216,https://img.shopstyle-cdn.com/pim/b3/e7/b3e7daac322ec68f271925eeab63d6d0_best.jpg,new,in stock,175 USD,0 USD,null,Adult,navy,medium
202177019,Nordstrom Pave Cubic Zirconia Stud Earrings,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/nordstrom/pave-cubic-zirconia-stud-earrings,https://img.shopstyle-cdn.com/pim/e6/b4/e6b47cbdd5134aafe9a2df94a2ac1e29_best.jpg,new,in stock,98 USD,98 USD,null,Adult,navy,medium
161914924,Hanes Women Silk Reflections Control Top Sandalfoot Silky Sheers 717,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=161914924,https://img.shopstyle-cdn.com/pim/b9/a8/b9a84d95961df051ad2d0dfb488d8278_best.jpg,new,in stock,11 USD,0 USD,female,Adult,navy,medium
332345175,Brooks Brothers Buffalo Classic Briefcase,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/brooks-brothers/buffalo-classic-briefcase,https://img.shopstyle-cdn.com/pim/b4/2a/b42af37f52d406a262de6a8eb9d3e3ae_best.jpg,new,in stock,848 USD,848 USD,male,Adult,navy,medium
176092063,COLLECTION Leather Belt,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/saks-fifth-avenue/collection-leather-belt,https://img.shopstyle-cdn.com/pim/40/72/40726ec0b7e34917117bc26eba1ec2ca_best.jpg,new,in stock,118 USD,118 USD,male,Adult,navy,medium
114023431,Florsheim 'Lexington Six-Eye' Oxford,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=114023431,https://img.shopstyle-cdn.com/pim/f9/43/f943916e592146bc6d4bf1893ab6bb29_best.jpg,new,in stock,110 USD,0 USD,null,Adult,navy,medium
